prompt_id,prompt,n_images,num_objects_acc,n_num_objects_correct,n_num_relation_is_correct,relation_acc_cond_on_num_objects_correct
71,A salad is on the left of a pizza.,20,50.0,10,7,70.0
72,A mountain is on the left of a river.,20,0.0,0,0,
73,A river is on the right of a mountain.,20,0.0,0,0,
74,A mountain is on the right of a river.,20,0.0,0,0,
75,A river is on the left of a mountain.,20,0.0,0,0,
76,A pen is on the left of a notebook.,20,50.0,10,1,10.0
77,A notebook is on the right of a pen.,20,50.0,10,3,30.0
78,A pen is on the right of a notebook.,20,60.0,12,11,91.67
79,A notebook is on the left of a pen.,20,60.0,12,9,75.0
80,Bread is on the left of butter.,20,20.0,4,0,0.0
81,Butter is on the right of bread.,20,35.0,7,3,42.86
82,Bread is on the right of butter.,20,20.0,4,4,100.0
83,Butter is on the left of bread.,20,35.0,7,7,100.0
84,A shark is on the left of a dolphin.,20,0.0,0,0,
85,A dolphin is on the right of a shark.,20,5.0,1,0,0.0
86,A shark is on the right of a dolphin.,20,10.0,2,0,0.0
87,A dolphin is on the left of a shark.,20,0.0,0,0,
88,A plane is on the left of a helicopter.,20,0.0,0,0,
89,A helicopter is on the right of a plane.,20,0.0,0,0,
90,A plane is on the right of a helicopter.,20,0.0,0,0,
91,A helicopter is on the left of a plane.,20,0.0,0,0,
92,A bottle is on the left of a glass.,20,55.0,11,4,36.36
93,A glass is on the right of a bottle.,20,25.0,5,2,40.0
94,A bottle is on the right of a glass.,20,35.0,7,5,71.43
95,A glass is on the left of a bottle.,20,40.0,8,7,87.5
96,A key is on the left of a lock.,20,0.0,0,0,
97,A lock is on the right of a key.,20,0.0,0,0,
98,A key is on the right of a lock.,20,0.0,0,0,
99,A lock is on the left of a key.,20,0.0,0,0,
100,A ring is on the left of a watch.,20,0.0,0,0,
101,A watch is on the right of a ring.,20,0.0,0,0,
102,A ring is on the right of a watch.,20,0.0,0,0,
103,A watch is on the left of a ring.,20,0.0,0,0,
104,A candle is on the left of a vase.,20,20.0,4,2,50.0
105,A vase is on the right of a candle.,20,40.0,8,3,37.5
106,A candle is on the right of a vase.,20,20.0,4,2,50.0
107,A vase is on the left of a candle.,20,45.0,9,6,66.67
108,A fish is on the left of a turtle.,20,5.0,1,1,100.0
109,A turtle is on the right of a fish.,20,0.0,0,0,
110,A fish is on the right of a turtle.,20,0.0,0,0,
111,A turtle is on the left of a fish.,20,0.0,0,0,
112,A backpack is on the left of a suitcase.,20,10.0,2,2,100.0
113,A suitcase is on the right of a backpack.,20,5.0,1,0,0.0
114,A backpack is on the right of a suitcase.,20,10.0,2,1,50.0
115,A suitcase is on the left of a backpack.,20,5.0,1,0,0.0
116,A cookie is on the left of a donut.,20,10.0,2,0,0.0
117,A donut is on the right of a cookie.,20,15.0,3,2,66.67
118,A cookie is on the right of a donut.,20,5.0,1,1,100.0
119,A donut is on the left of a cookie.,20,10.0,2,2,100.0
